v,j,l
-1,18740,56
-1,30077,101
-1,24617,28
-1,12842,221
1,17504,184
-1,13122,67
1,29608,187
1,21935,251
1,27955,35
1,4457,109
1,28249,34
-1,5252,240
1,6297,77
1,6570,45
-1,28112,82
-1,9520,208
1,2177,45
-1,23242,104
-1,18890,65
1,10955,21
-1,4203,186
1,16826,119
-1,24515,71
-1,26549,140
1,25826,16
-1,763,121
1,24343,11
1,21227,110
-1,31204,238
-1,30989,84
-1,12402,183
1,32740,132
-1,11299,87
1,26322,49
1,18488,38
-1,28980,191
-1,22863,62
-1,19477,207
1,27285,169
-1,27991,124
-1,32601,216
1,20561,5
1,9020,22
-1,11712,253
1,20881,65
1,6899,143
-1,10477,27
1,16884,197
1,14199,164
1,31923,8
-1,2625,54
-1,30530,251
-1,885,192
-1,8377,35
1,3739,138
1,28682,116
1,17285,92
1,6503,155
-1,243,94
1,17011,104
1,6214,90
1,19204,14
-1,6428,73
-1,6656,201
1,4274,86
-1,29168,143
1,24378,116
1,15317,201
1,26661,202
-1,19535,113
-1,4177,232
1,18568,30
1,14424,231
-1,10590,157
1,17191,1
-1,15091,146
-1,21400,80
1,18859,21
1,29874,229
1,4765,232
1,13548,214
-1,4750,252
-1,20342,16
-1,26322,23
1,13920,200
-1,22782,182
-1,24510,171
1,12135,184
1,2525,65
-1,4792,180
-1,29120,64
1,11911,159
-1,27037,29
-1,26636,20
1,19257,158
-1,12377,253
1,23952,180
-1,8825,15
1,23331,155
-1,20519,192
1,26309,244
-1,21114,173
-1,7024,7
1,1053,93
-1,6255,237
-1,7159,48
1,4402,11
1,14774,58
-1,20921,130
-1,19779,190
1,28858,9
1,6793,176
1,24867,1
1,9779,102
-1,25850,146
-1,26946,228
1,13941,21
-1,552,36
1,31811,105
-1,17956,85
-1,11151,170
1,1569,218
1,3296,33
1,15140,91
-1,26196,104
-1,1225,48
-1,21925,120
-1,10342,113
1,8772,112
1,27540,156
1,25195,61
-1,14864,233
1,8563,62
-1,16952,250
1,24518,48
-1,2709,169
-1,13168,74
1,5662,206
1,18570,9
-1,31713,126
1,7991,14
1,21006,228
1,32264,143
-1,8965,23
1,8237,77
-1,10021,44
1,17880,224
1,3899,57
-1,17613,6
1,31486,147
1,4116,197
1,27731,252
-1,25398,218
1,28052,128
1,9542,159
1,23757,3
-1,3561,220
1,18059,242
1,32245,173
1,22314,135
-1,28005,254
-1,16493,150
1,2585,168
1,32350,207
-1,24538,67
1,2186,164
-1,19623,141
-1,63,152
-1,29949,231
-1,11563,239
-1,1757,56
-1,9431,99
-1,27922,239
1,28706,140
-1,32701,54
-1,17320,156
1,21009,178
-1,25933,59
-1,9476,111
-1,30975,252
-1,31673,245
-1,6569,243
-1,7173,30
1,7869,48
1,20818,112
-1,24054,239
1,4102,246
1,31704,93
-1,11658,108
-1,13676,64
-1,30388,160
-1,22965,142
1,14689,189
1,17489,74
-1,18896,143
1,31947,226
-1,28430,118
1,23161,237
1,8849,146
-1,26940,2
1,14894,76
-1,114,22
1,16014,14
1,20617,185
1,11590,48
-1,29539,67
1,18033,154
1,31645,220
-1,1087,120
-1,26823,255
-1,2859,157
-1,16449,27
-1,25485,161
1,23920,237
-1,11633,118
-1,23641,190
1,17836,96
-1,7850,231
-1,9864,191
-1,13695,27
1,32715,248
1,27796,242
1,6562,207
-1,11269,192
1,13825,188
-1,9015,3
-1,18765,216
1,30404,230
-1,19147,160
1,14817,178
1,16596,225
-1,30243,166
-1,11411,61
-1,29055,184
1,31027,164
-1,22269,210
1,10684,49
1,4242,108
-1,21301,182
-1,19603,191
1,4626,159
1,2766,211
1,20874,188
1,2518,158
-1,22325,152
1,3155,68
-1,13491,41
-1,29995,67
1,7932,192
1,5190,187
1,24321,74
-1,12125,73
-1,21079,180
1,21661,55
1,17963,247
1,26626,16
-1,5726,239
1,9669,16
1,5694,211
-1,10415,30
1,12911,142
1,1844,141
1,1072,143
-1,16834,90
1,21885,184
1,10013,146
-1,121,38
-1,30216,235
-1,29306,239
-1,22248,37
-1,6747,213
-1,1857,231
-1,9609,205
1,5865,180
1,12411,202
-1,7365,230
1,1987,103
1,10950,8
1,19679,134
-1,4581,216
-1,7311,152
-1,15950,141
1,20466,179
1,16617,143
-1,24424,208
1,25955,218
1,31450,248
-1,22334,134
-1,22238,122
-1,29244,78
-1,10712,212
1,10680,81
1,17508,132
-1,6967,222
1,22477,202
1,18305,83
-1,23280,47
1,4191,226
-1,4621,32
-1,11169,150
1,1181,251
1,658,2
1,19108,176
1,28573,18
1,10397,189
1,3283,227
1,12346,204
-1,6629,138
-1,132,125
-1,9300,168
-1,23704,167
1,8986,244
-1,24476,188
-1,25421,157
-1,16270,71
-1,16071,43
-1,28720,231
-1,11301,46
1,13459,132
-1,19737,235
-1,13547,25
1,10934,217
1,22457,175
1,2034,186
-1,4279,59
1,31482,45
1,24025,237
1,26181,135
1,10577,43
-1,14752,225
-1,19949,11
1,16444,153
1,5819,27
-1,7198,60
1,5982,231
1,23635,159
-1,31292,50
-1,1620,231
-1,15361,66
-1,9401,232
1,1658,159
1,13173,62
-1,32634,32
1,17466,24
-1,13491,211
1,19759,189
-1,9744,61
-1,31805,225
1,14724,143
1,30316,241
1,21768,19
-1,4870,21
-1,12426,179
-1,29119,2
-1,12392,222
1,21867,9
-1,4418,84
-1,18991,10
1,23697,64
1,32575,14
-1,14886,124
1,30111,238
-1,19788,127
1,12677,237
-1,30465,194
1,28471,28
-1,31352,233
1,26040,195
-1,13117,166
-1,25043,54
-1,15050,65
1,25217,23
1,11859,91
-1,23849,93
-1,15366,3
1,15243,69
1,20819,13
1,8395,8
1,29455,215
1,8555,145
1,2102,237
-1,9312,122
-1,23780,199
-1,26180,237
1,16194,185
-1,14617,100
1,16411,82
-1,31781,180
-1,538,82
1,8309,240
1,13167,51
1,4009,121
1,9437,101
1,6586,181
-1,28746,152
-1,12479,137
-1,10678,188
1,30726,52
-1,23884,165
-1,32056,250
1,17906,77
1,14817,115
-1,16701,130
-1,19138,128
1,17982,17
1,14815,188
1,13487,116
1,3884,26
1,12069,134
-1,16780,241
-1,17509,92
-1,830,97
1,13065,59
1,19342,76
1,31040,173
-1,25344,114
1,26169,35
-1,31083,155
1,30427,218
-1,30704,53
1,24423,139
-1,22366,191
-1,28673,72
1,8624,44
1,14372,98
-1,27984,138
-1,13215,162
1,21465,105
1,21688,14
1,1968,82
1,23498,175
1,6572,239
-1,26496,238
-1,12189,3
-1,2286,213
-1,23372,33
-1,15862,142
1,17323,27
-1,5750,215
-1,3435,61
-1,29841,226
1,17263,197
1,27974,109
1,9117,0
1,26250,122
-1,8251,209
1,20193,108
-1,10275,234
-1,28724,27
-1,4513,207
1,18537,101
-1,27277,207
1,9767,134
1,15574,200
-1,27787,84
-1,13831,44
-1,16234,1
-1,24189,39
-1,31692,126
-1,25041,254
1,11639,68
1,2623,240
-1,88,88
1,8945,37
1,32150,253
-1,16930,127
-1,19982,240
1,25206,156
1,11861,184
-1,23014,239
1,800,18
-1,25938,113
1,31433,54
-1,23205,85
1,51,254
1,26845,173
1,25329,212
1,20018,53
-1,5349,237
1,32656,196
1,7217,215
1,16727,142
1,21290,42
1,22757,131
-1,820,175
-1,19174,100
1,26830,164
1,25755,39
-1,20159,2
1,10527,101
-1,29232,156
1,12495,250
1,3737,167
1,1109,227
1,18954,195
1,14774,103
-1,24101,224
1,29351,216
-1,25436,153
1,29914,188
-1,21103,186
1,31512,95
-1,13228,52
-1,249,63
-1,21054,248
1,18013,237
-1,29650,19
-1,28231,84
1,18478,227
-1,29699,108
1,31104,129
-1,17307,137
-1,417,62
-1,3678,151
-1,21679,144
-1,31349,7
1,23660,66
1,24541,236
-1,6156,242
-1,4907,191
1,23657,178
-1,27610,131
-1,11023,41
1,21327,102
-1,32638,190
1,12871,238
-1,22939,58
-1,25407,142
1,4536,26
-1,30839,217
-1,7314,164
-1,17591,148
-1,10036,91
1,29218,223
-1,12754,102
-1,21968,70
-1,17160,237
1,26104,181
1,850,42
1,2456,38
1,15302,21
1,23632,142
-1,21685,121
-1,13649,101
1,3328,255
1,18566,250
-1,21713,120
-1,6496,85
-1,15305,176
-1,26293,232
-1,2963,184
-1,18591,76
-1,16253,216
1,5796,204
-1,1255,188
1,3339,109
1,4239,101
1,30720,184
-1,19991,114
-1,1910,155
-1,16064,227
1,8212,159
1,15664,125
1,11743,219
-1,5025,30
-1,25886,244
1,32629,139
-1,2656,28
-1,4990,255
-1,14389,211
1,26161,47
-1,13708,209
1,15179,234
-1,27022,108
1,24142,23
1,21211,13
-1,4838,136
1,12560,8
-1,10199,220
-1,9828,139
-1,32325,51
-1,14584,204
-1,21271,124
-1,5897,235
-1,24079,87
1,18399,55
-1,23266,200
-1,3820,109
1,4188,81
1,20326,241
-1,20545,194
-1,27483,28
1,24433,55
-1,3402,188
1,23101,106
1,22894,195
-1,29957,245
1,27973,84
-1,2050,20
1,28779,175
-1,6605,179
-1,5855,244
-1,17427,21
1,1640,13
1,14715,59
1,2815,103
-1,2812,179
1,6245,72
-1,16847,148
1,20969,209
1,11820,16
-1,12246,52
1,20357,199
1,204,87
1,6588,142
1,25566,227
-1,2360,183
1,1372,203
-1,25472,33
1,9935,93
1,7814,130
-1,16175,35
-1,15467,241
-1,25780,142
1,8160,164
1,23561,49
-1,1939,133
1,28649,158
-1,6826,166
1,279,196
1,3401,127
1,22300,247
1,26200,56
-1,16935,232
1,29038,57
-1,26620,183
1,30832,54
1,20710,227
-1,25130,3
-1,3762,220
1,9202,98
-1,13612,130
1,24099,111
-1,17066,88
1,12429,20
1,23278,50
1,30172,161
-1,29931,156
-1,19688,46
-1,9206,143
-1,29665,115
1,24595,53
1,19349,139
-1,6144,209
1,8016,79
1,25877,194
-1,23093,232
1,3061,245
-1,29267,241
1,16521,134
-1,9374,227
1,5603,151
1,16149,29
1,17928,30
1,14204,238
-1,24644,168
-1,7521,222
1,6005,76
-1,27083,67
1,23492,185
-1,21098,67
1,12633,83
1,28323,44
1,24221,41
1,1097,142
-1,5711,107
-1,9991,177
1,7597,156
1,14078,0
1,30734,159
1,1701,241
-1,24602,41
1,31599,172
-1,15082,189
1,8425,82
-1,3766,106
-1,4045,2
-1,28025,17
1,9222,238
1,30827,154
1,30688,52
-1,5326,67
-1,16673,54
-1,29883,3
1,30832,95
1,3267,149
1,13945,104
-1,31628,175
1,25147,93
1,3763,33
1,29180,86
1,5958,31
1,5510,35
-1,12851,235
-1,20015,159
1,20329,42
-1,26183,255
1,24675,246
1,25615,206
1,18718,138
1,32044,189
-1,29673,178
1,21670,30
-1,1974,165
-1,3725,138
1,26401,77
1,24497,232
1,20202,80
1,25418,181
-1,13725,181
1,18837,168
-1,28115,225
1,29477,67
1,30744,169
-1,16222,46
-1,26226,123
1,23425,177
-1,13313,25
1,580,131
-1,3673,103
1,11256,180
1,8238,150
-1,5511,182
-1,8200,124
-1,1265,2
1,9248,230
-1,32049,255
1,30128,24
-1,4824,84
-1,19869,79
-1,17731,120
-1,8783,87
-1,28270,126
1,3916,106
-1,14845,115
-1,324,182
1,24445,50
-1,7160,177
1,21093,201
1,17483,63
1,1484,31
-1,7163,248
1,12601,34
-1,10000,175
1,17740,145
1,17256,141
1,605,158
1,7825,207
-1,12518,250
-1,16694,254
-1,7096,55
-1,14311,232
1,31106,118
1,27044,164
-1,26062,98
-1,30220,81
-1,27618,228
-1,11445,141
-1,24268,192
1,19312,123
-1,11296,138
1,28196,40
1,20812,208
-1,11544,72
1,21634,144
-1,1138,217
-1,22137,211
1,14107,107
1,32428,66
1,7755,220
1,5066,119
-1,13384,70
1,4697,100
1,7068,161
-1,23814,219
1,24146,174
-1,6221,77
1,9950,72
-1,24158,31
-1,10045,99
-1,5769,150
1,5781,246
-1,27970,151
1,23850,127
-1,3542,232
-1,3098,80
1,28850,46
1,12557,151
-1,5537,68
-1,7286,21
-1,1321,77
1,17526,171
-1,14758,229
-1,12414,175
1,13612,65
-1,29235,53
-1,15791,242
-1,20239,54
-1,6135,92
-1,10459,86
-1,12887,200
1,11757,178
1,1618,67
-1,30770,4
1,31268,223
1,6402,242
-1,18116,192
1,30404,6
-1,25434,51
1,27530,189
-1,22793,67
-1,4422,135
1,3093,244
1,14450,141
1,4211,79
1,1660,250
1,7138,55
1,906,20
-1,25789,166
1,17377,63
-1,24816,192
1,3782,16
1,9638,123
1,23774,67
-1,4241,164
1,21152,204
1,3691,238
1,22620,233
-1,5424,220
-1,24785,240
1,10779,136
-1,31314,142
1,7490,218
1,10511,107
1,24855,117
-1,13709,150
-1,30685,206
1,31353,9
1,23106,174
-1,18390,152
-1,23010,62
1,22523,185
-1,1535,232
-1,15574,19
-1,9463,10
1,31543,60
1,24262,45
-1,7122,87
-1,4184,33
1,28238,159
-1,20580,114
1,11004,164
1,9870,122
-1,22183,254
1,17232,143
-1,3903,131
1,30698,149
-1,31777,155
1,26180,38
-1,24398,205
-1,2757,65
1,11300,143
-1,14455,103
1,10391,76
1,11883,224
-1,15060,83
1,31910,150
-1,7860,180
1,13773,52
-1,24819,58
1,19891,221
1,898,251
-1,31694,73
1,1128,175
-1,14353,27
-1,12929,54
1,28762,193
1,30742,162
-1,22622,82
-1,5834,119
-1,24796,13
1,13690,209
-1,28329,229
-1,30888,153
-1,6208,29
1,16553,44
-1,8515,105
1,14122,142
1,26122,95
1,9611,219
1,5279,24
-1,11807,47
1,4101,175
-1,25137,240
-1,3356,81
1,9737,132
1,20994,200
1,1190,36
-1,18270,93
1,11262,132
1,12476,160
1,27324,116
-1,4954,66
1,7827,214
-1,20940,175
-1,25888,158
1,4851,82
-1,29203,161
1,30348,245
1,2563,0
-1,8671,149
-1,17123,248
1,17134,114
1,13892,26
-1,23045,53
-1,11055,58
-1,9226,129
1,32737,203
-1,30950,70
-1,20202,212
1,23855,232
1,15656,226
1,31804,137
-1,28906,44
1,23064,253
-1,7285,106
-1,9130,71
1,767,3
-1,10055,243
-1,18494,202
1,20800,36
1,6598,83
1,17042,191
1,16508,196
-1,26597,115
1,19577,204
1,23064,168
1,10777,51
1,11397,220
-1,32078,226
1,31187,18
-1,7751,5
-1,7877,40
-1,30646,33
-1,16653,18
-1,26386,249
-1,5208,98
1,32180,245
-1,14971,32
1,18534,58
-1,24772,120
-1,31514,139
-1,22661,175
1,6626,161
-1,29542,156
-1,16032,10
-1,1864,66
1,11495,111
-1,13937,12
-1,29004,219
1,13770,158
1,30398,57
1,31138,132
-1,31389,75
1,9355,186
-1,12115,152
1,32111,42
1,13800,76
-1,19179,82
1,19653,0
-1,20022,60
-1,4053,6
-1,23730,217
-1,3246,112
-1,6529,177
-1,27551,90
1,3732,137
-1,19126,209
1,30209,142
1,14118,67
1,31310,0
1,15030,136
1,17446,131
1,32584,199
1,12934,56
-1,15578,204
-1,19082,211
1,8974,183
1,6722,72
1,31258,181
1,27611,4
1,31348,186
1,2437,247
-1,28534,228
1,22898,10
1,24790,151
-1,20724,58
1,31504,221
1,4870,49
1,9323,17
1,28667,97
1,24568,214
-1,8550,120
1,5972,75
1,2324,177
-1,10572,27
-1,11225,234
1,14748,193
-1,3076,193
-1,16656,73
-1,14787,23
-1,25574,48
1,24410,2
-1,26683,11
-1,24820,96
-1,5961,121
1,4307,167
1,10085,233
-1,27000,171
1,219,52
-1,29925,65
1,25491,11
1,11693,103
-1,5334,202
1,5824,161
1,4034,87
-1,28028,22
1,18251,153
1,24853,145
1,5629,122
-1,15983,92
-1,16153,63
1,31333,37
1,4842,71
1,633,232
-1,30375,180
-1,1374,149
1,3913,17
-1,19891,101
-1,32155,101
1,18004,120
-1,8330,44
-1,4826,143
-1,10831,77
-1,6630,6
-1,7312,185
-1,2881,6
1,22088,238
1,24778,111
1,16728,170
-1,29194,54
1,13155,218
1,3083,126
1,20719,163
1,12809,61
1,6225,187
-1,12010,254
-1,26017,93
1,2498,54
-1,27688,147
1,29861,100
1,2181,79
-1,16761,74
-1,12998,32
1,19817,197
-1,27917,219
-1,26199,106
1,16803,180
-1,25892,163
-1,17477,38
1,32412,207
-1,30101,225
-1,25792,32
-1,8012,105
1,10530,28
-1,18859,95
-1,10116,215
1,26793,27
-1,18996,62
-1,14855,212
1,8978,146
1,11395,50
1,508,131
-1,2800,149
-1,31041,138
-1,20608,84
-1,623,151
-1,32083,144
1,7957,194
1,8532,101
1,17306,147
-1,22122,120
1,22710,0
1,17098,227
1,9194,38
1,24117,110
1,27157,181
-1,23345,23
-1,9265,178
-1,5363,88
1,102,246
1,26708,125
1,5641,127
1,14454,118
-1,7369,248
1,31567,137
1,30255,177
-1,16623,112
-1,10622,28
-1,25120,188
1,27464,237
-1,427,134
1,19924,45
1,8563,59
1,29165,40
1,10423,77
1,26366,246
1,12,205
-1,28235,241
1,20426,197
-1,24355,222
-1,31404,39
-1,2783,193
1,9741,216
-1,22372,19
-1,1349,106
1,2007,35
-1,18626,230
-1,24649,164
-1,19774,244
1,18089,170
1,9330,23
-1,12542,197
1,7156,123
-1,32038,8
1,27054,193
1,3292,7
1,9621,219
1,28514,132
-1,13432,124
1,19389,55
-1,11301,142
-1,18866,110
-1,23124,64
1,22428,208
1,32413,183
-1,26668,37
-1,28669,233
-1,13039,97
1,9374,185
-1,20443,196
-1,22411,94
-1,5622,255
1,16809,44
1,23733,225
1,17604,31
-1,7237,209
1,14418,41
1,21237,65
1,25695,149
-1,834,83
-1,6847,25
-1,7845,84
1,8795,63
1,11207,63
1,28645,122
-1,1727,63
1,25479,143
-1,16657,100
-1,2584,110
1,12734,245
-1,5166,108
-1,16262,192
1,14046,86
-1,3186,169
1,26530,61
1,3420,244
1,14632,165
-1,24431,251
-1,8695,92
-1,10013,236
1,29571,90
1,15290,154
-1,22537,173
-1,28142,176
1,1800,116
-1,19403,2
1,21662,93
-1,16764,103
1,31413,178
1,19463,58
1,12306,179
-1,15026,140
1,17343,67
1,30639,194
1,29925,138
-1,14365,249
1,14373,158
-1,22477,98
1,13117,65
-1,5765,65
1,30411,242
-1,18346,138
1,21356,9
-1,19040,50
1,3071,45
-1,5688,247
1,23415,235
1,22922,180
-1,2466,141
-1,14813,35
-1,30581,169
-1,4392,142
-1,17960,77
1,14328,114
1,2806,189
-1,23827,45
1,28319,30
-1,25559,73
1,7316,244
-1,26850,79
-1,32009,205
1,13144,112
-1,21328,75
-1,1892,109
1,12104,99
1,7258,148
-1,32406,191
1,70,221
-1,9154,189
-1,30468,226
-1,11106,233
-1,5808,96
1,17524,152
-1,13967,203
1,11641,58
-1,12777,148
1,6074,255
-1,2127,71
-1,12021,93
-1,32700,183
-1,22245,127
1,18320,134
-1,35,163
1,19230,73
1,3308,87
-1,16315,138
-1,11673,156
-1,4692,167
1,14397,164
1,30459,41
1,15984,206
-1,11676,200
1,11372,252
-1,7413,103
1,19189,98
-1,25797,174
-1,20767,102
1,25094,215
1,27176,188
-1,32088,250
-1,31431,129
-1,22250,140
-1,25750,216
-1,11247,6
-1,16326,61
1,21372,222
-1,31412,220
1,9564,232
-1,1123,26
-1,8257,4
1,4334,240
-1,20979,199
-1,5235,204
-1,20635,10
1,16420,144
-1,8867,151
1,8446,102
-1,29563,114
-1,8538,227
-1,8026,48
1,18501,239
1,22810,38
1,6045,201
1,16200,212
1,18982,175
1,29669,53
-1,4209,2
1,18795,125
-1,29661,236
1,19473,94
1,9013,68
1,10391,38
-1,9284,150
1,20349,165
-1,20324,187
-1,28248,75
1,30573,225
-1,31518,229
1,21154,228
-1,24380,230
1,7449,155
-1,10867,234
-1,2453,83
1,23235,115
-1,11081,192
-1,16883,167
-1,6407,208
-1,24683,96
-1,22866,12
1,7104,235
1,7362,168
-1,7478,39
1,3857,249
1,5172,66
-1,1104,234
-1,31130,70
1,24541,80
1,3316,121
1,3027,40
1,19881,148
1,9473,172
1,22786,1
-1,19754,217
1,17271,65
-1,5327,180
-1,32741,44
1,10858,125
-1,22449,51
-1,31835,222
-1,17133,112
-1,31806,69
1,3207,135
-1,26549,41
-1,16234,210
-1,25730,172
-1,7670,29
1,7498,231
1,20500,4
1,21486,225
-1,30866,202
-1,4179,35
1,10107,148
1,24141,150
-1,22498,84
1,23476,206
-1,6807,209
-1,29473,32
1,24756,97
1,19871,97
1,19097,4
-1,4219,196
1,4363,56
1,4706,86
-1,21025,29
1,2898,182
-1,26847,24
-1,10285,137
1,27983,243
-1,25625,30
-1,24932,21
1,8095,211
1,8400,229
-1,27033,246
-1,15587,205
-1,18250,101
1,15506,7
-1,32064,117
1,8355,111
-1,12194,4
1,13852,69
1,29478,144
-1,8760,212
-1,26679,113
1,23422,86
-1,13579,159
-1,17848,170
1,29232,201
-1,15348,159
1,22007,0
1,5747,84
1,3406,236
1,26717,122
-1,11101,36
1,17391,148
-1,26862,160
-1,31833,36
1,19261,44
-1,24860,42
1,28399,11
-1,21603,93
-1,1458,112
1,1217,181
1,10037,72
1,14259,215
1,7250,197
1,9809,173
1,26977,32
1,3318,128
-1,30398,161
1,24788,103
1,30654,92
-1,24354,146
1,30701,104
-1,26115,167
1,9893,63
1,22862,79
-1,30612,50
1,16630,155
1,28753,79
1,15535,45
1,1408,223
-1,28779,53
-1,2168,43
1,9127,16
-1,11529,95
-1,9158,6
1,29193,77
-1,26383,79
-1,14680,107
1,30258,138
-1,9969,202
-1,21558,88
1,26723,17
1,21635,150
1,30528,41
1,6471,84
-1,14877,84
1,13100,15
1,10214,124
1,23991,245
1,126,32
1,19821,223
1,20731,104
-1,12938,224
-1,13463,107
1,19917,214
1,8459,125
-1,24623,99
1,20957,130
1,18897,186
1,31988,177
-1,1315,13
-1,12022,126
-1,11797,23
1,13551,192
-1,21939,199
-1,11586,23
-1,31466,138
1,8066,226
1,8195,193
-1,630,134
1,2160,168
1,19110,197
1,25685,229
1,12194,139
1,10532,33
1,12508,179
-1,15059,138
-1,7298,99
-1,15250,95
-1,10955,105
1,3779,51
-1,24899,115
1,21360,184
1,1232,3
1,26294,217
1,11954,199
1,25379,226
1,821,199
1,11994,238
-1,26665,60
1,12823,16
-1,7695,182
1,2797,72
-1,15983,179
1,30642,124
-1,9085,226
1,20779,129
1,25672,28
-1,3803,1
-1,10480,72
1,20791,255
-1,2000,87
1,21809,210
1,21841,128
1,18163,78
-1,10541,52
1,18117,44
1,4610,11
-1,22818,97
1,19360,105
1,16774,44
-1,16659,23
1,8703,85
-1,15960,65
1,14193,54
-1,8359,86
1,18676,165
-1,20965,207
1,30974,86
-1,2384,167
-1,7233,72
1,20483,254
-1,11530,210
1,13695,84
-1,18895,173
-1,13506,54
-1,26593,172
1,14440,205
1,2490,55
1,16724,0
-1,15972,54
-1,2855,19
1,22531,128
-1,22496,50
1,8655,0
1,29729,133
1,5653,103
-1,22900,222
1,16516,207
-1,15404,35
-1,10143,68
-1,12491,90
1,30715,149
1,22538,119
-1,20955,112
1,4982,195
-1,578,101
-1,8557,206
1,16870,242
1,9065,215
1,24338,3
1,18784,145
-1,16450,133
-1,22848,238
1,6617,60
1,30251,224
-1,24172,110
-1,22202,15
1,10520,0
1,9367,200
-1,279,118
1,31033,56
-1,19846,119
1,21829,243
-1,6396,143
1,30849,58
1,23848,126
1,23674,208
-1,6235,4
1,3569,197
1,3714,60
1,16924,90
-1,21800,198
1,27821,45
1,25110,71
-1,30861,130
-1,28972,146
-1,27653,37
1,13605,201
-1,16426,80
1,15879,68
1,19395,91
1,20893,176
-1,13356,226
1,27491,12
1,4965,87
-1,2612,186
1,6506,175
1,9587,70
1,24825,52
1,16014,136
-1,21320,218
1,6191,121
-1,22405,51
1,15429,0
1,31594,251
1,22369,58
1,4726,24
1,29806,170
-1,16846,226
1,3798,86
1,2269,51
1,15154,167
1,16264,128
-1,5218,231
-1,24630,87
1,23743,17
1,4847,24
-1,19055,81
-1,25334,204
1,12243,170
-1,5887,184
-1,18914,148
-1,7852,107
-1,12893,40
1,18639,254
-1,17367,253
1,16520,142
-1,6812,37
1,18802,15
-1,10801,157
-1,30494,61
1,1959,208
-1,27458,220
-1,16332,9
-1,8206,114
1,27773,39
1,5211,220
-1,30674,24
-1,5802,139
-1,11478,163
1,13224,237
1,13917,154
-1,4755,72
1,23953,240
-1,28907,202
1,15672,94
-1,11204,226
-1,6704,151
-1,4110,209
1,17579,39
-1,1654,125
1,23779,153
1,20911,239
-1,24059,129
1,12762,53
1,29361,221
-1,6116,16
1,13736,42
-1,21467,124
1,32277,57
-1,9460,211
1,8957,23
1,31999,144
-1,31416,36
1,8117,86
-1,12364,145
1,30561,25
-1,2019,34
1,2945,232
1,20254,112
1,27819,82
-1,15806,81
-1,8544,197
-1,32165,50
-1,8509,139
-1,28185,81
-1,31493,99
1,9140,217
-1,32500,81
-1,11780,25
-1,26950,118
-1,20825,226
-1,7280,98
-1,20165,19
-1,10773,101
-1,7749,92
-1,21366,27
-1,1199,226
1,3503,251
-1,5289,237
-1,26466,15
1,20819,159
1,22636,184
-1,20770,19
1,15340,171
1,6082,116
-1,20374,205
-1,9471,109
-1,11015,68
1,19510,198
1,20691,249
-1,4175,129
1,30776,159
-1,3357,173
-1,28216,126
-1,19815,46
-1,25227,125
1,16114,171
-1,7266,42
-1,14875,252
-1,5289,127
-1,15645,73
-1,4494,135
-1,19382,110
-1,31141,143
-1,4046,22
-1,29428,4
1,24015,11
-1,28998,244
-1,18574,14
1,31224,144
1,6734,233
1,22965,12
1,17764,32
1,23675,120
-1,28467,198
-1,20233,44
1,13603,88
-1,11580,159
-1,28724,145
-1,4876,159
1,16309,206
1,11882,163
-1,15212,89
-1,31722,49
1,13639,53
-1,13342,23
1,19303,69
1,2145,130
-1,11250,230
-1,21607,22
1,30345,132
-1,6958,145
1,16217,69
-1,26524,36
1,22666,158
-1,19851,130
-1,10557,16
1,8570,192
1,24443,176
1,27585,24
-1,5893,250
1,20641,243
1,4685,211
-1,9137,191
-1,1836,21
-1,27192,194
1,59,199
1,6746,115
1,24413,65
-1,10662,107
1,19557,84
-1,9666,68
-1,1151,81
-1,27388,101
-1,32450,16
-1,29747,33
-1,28387,139
-1,7752,152
1,22985,75
1,16298,132
1,12847,137
1,19694,50
-1,2084,65
-1,32097,16
-1,29999,127
-1,30921,163
-1,6145,22
-1,24730,252
1,6756,59
-1,15842,176
-1,20127,16
1,20167,81
1,1366,26
1,25933,100
-1,17534,94
1,15354,189
-1,13492,7
1,800,235
-1,17087,126
1,24342,82
1,17531,142
-1,19410,185
-1,16344,19
1,12004,215
1,17221,224
-1,11137,179
1,4784,48
1,29908,23
-1,32079,227
1,31673,178
-1,20497,185
-1,16682,51
1,6644,21
-1,20206,120
-1,21359,192
-1,7257,89
-1,19474,115
-1,12033,216
-1,114,19
-1,29595,31
-1,26088,165
-1,18647,82
1,4619,22
1,9515,159
1,10714,141
-1,11877,61
-1,18073,216
-1,29033,96
-1,5527,28
1,7035,165
-1,14215,3
-1,8103,59
1,9266,166
-1,8896,155
1,13390,189
1,22350,184
-1,31525,136
1,25785,28
-1,26136,229
1,28168,196
1,23050,75
-1,21429,146
-1,24806,53
1,4196,5
-1,22322,35
1,26872,72
-1,30333,11
1,20003,182
1,28380,12
1,6523,21
1,18381,63
-1,24567,231
-1,7979,190
-1,27094,14
1,3024,175
-1,1474,55
-1,1887,200
1,11140,33
1,29659,171
1,124,45
-1,9861,252
-1,1580,179
1,14946,196
-1,20674,178
-1,19410,124
1,13764,59
-1,6875,73
-1,23587,55
-1,7390,219
1,27223,4
-1,2579,119
-1,17755,225
1,25052,255
1,15645,239
-1,24038,30
-1,14946,118
-1,12633,170
-1,16226,192
1,21656,11
-1,31146,146
-1,11363,105
-1,17396,59
1,12118,193
1,7340,75
1,1126,239
1,24518,162
-1,7564,194
-1,6177,136
-1,17305,251
1,15486,153
1,7927,133
-1,11891,108
1,24242,15
-1,9457,47
1,7462,186
-1,14303,13
1,20000,221
